full_text,created_at,full_text_preprocessed,Topik
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 09:49:34+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 10:54:52+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 11:11:23+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 12:29:33+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 12:43:04+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 12:53:50+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 12:58:18+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 13:36:43+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 14:22:31+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 15:03:39+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 20:55:02+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 21:27:57+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 21:40:55+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 22:21:48+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-14 22:30:51+00:00,mohon maaf pembenci presiden,6
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-15 01:28:43+00:00,mohon maaf pembenci presiden,6
Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,2025-12-15 02:27:16+00:00,presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora,11
MOHON maaf bagi para pembenci Presiden https://t.co/jeI5cLjwWw,2025-12-15 02:39:14+00:00,mohon maaf pembenci presiden,6
Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,2025-12-15 02:41:07+00:00,presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora,11
Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,2025-12-15 02:52:34+00:00,presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora,11
Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,2025-12-15 02:57:47+00:00,presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora,11
Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,2025-12-15 03:01:33+00:00,presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora,11
Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,2025-12-15 03:12:00+00:00,presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora,11
Pak Presiden @prabowo saat ini (setelah bencana banjir longsor lumpur kayu gelondongan) sudah tidak relevan lagi memilah yg Legal dan Ilegal.Melihat masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat yg kehilangan ayah ibu anak saudara flora https://t.co/gQkwBGROCx,2025-12-15 03:16:25+00:00,presiden bencana banjir longsor lumpur kayu gelondongan relevan memilah legal ilegal masifnya kerusakan kehancuran lingkungan infrastruktur kematian kehidupan rakyat kehilangan ayah anak saudara flora,11
