full_text_comments,full_text_comments_preprocessed
@ARSIPAJA Jaya Suprana dan Sandro Gatra is THE money really that good?,jaya suprana sandro gatra the money really that good
@ARSIPAJA Ini kl ketahuan dosen jurnalistik gw diomelin abis-abisan sih,ketahuan dosen jurnalistik diomelin abis abisan
@ARSIPAJA Ya di negara feodal kritik memang dianggap kebencian. Sungkem sujud nurut diutamakan.,negara feodal kritik dianggap kebencian sungkem sujud nurut diutamakan
@ARSIPAJA yg kita benci itu kebijakan dan kinerjanya bukan orangnya,benci kebijakan kinerjanya orangnya
@ARSIPAJA Walau saya tau posisi anda terdesak tp untung belum perpanjang langganan @kompascom,posisi terdesak untung perpanjang langganan
@ARSIPAJA tulisannya si @Kelirumologi buzzer penguasa,tulisannya buzzer penguasa
@ARSIPAJA apaan banget script nya???,script
@ARSIPAJA Tim redaksinya diancam kah? Artikel kaya gini lolos.,tim redaksinya diancam artikel kaya gini lolos
@ARSIPAJA maaf juga ye penulis gue kaga percaya ,maaf penulis kaga percaya
@ARSIPAJA Loh kirain kompasiana.,kirain kompasiana
@ARSIPAJA Kompas jadi Kompos setidaknya kompos bermanfaat lah ini ,kompas kompos kompos bermanfaat
@ARSIPAJA Gw masih mikir dr td.. poinnya kalimat itu apa?,mikir poinnya kalimat
@ARSIPAJA Astagaaa berita macam apa itu @kompascom ?,astagaaa berita
@ARSIPAJA Beneran ini kompas bikin narasi berita kayak gini?,beneran kompas bikin narasi berita kayak gini
@ARSIPAJA Alasan kenapa ga langganan kompas,alasan langganan kompas
@ARSIPAJA mohon pake bold,mohon pake bold
@ARSIPAJA ini apaan jancok bisa nulis ga sih,jancok nulis
@ARSIPAJA Ya Allah takbirrrr Beneran ada jurnalis kek gini?? Terang2an mihak?? Perasaan gua dl diajarin ga begini deh,allah takbirrrr beneran jurnalis kek gini terangan mihak perasaan diajarin
@ARSIPAJA Sekelas kompas bahasanya kek buzerp,sekelas kompas bahasanya kek buzerp
@ARSIPAJA Redaksi @kompascom rasa buzzer..,redaksi buzzer
@ARSIPAJA Ini advertorial atau rubrik opini kah?,advertorial rubrik opini
CES is almost here Jan 6 9 2026! @Synopsys just announced a special CEO Fireside Chat at CES 2026 with CEO Sassine Ghazi joining Six Five Podcast hosts @PatrickMoorhead &amp; @danielnewmanUV to unpack the future of automotive engineering from AI and software-defined,ces almost here jan just announced special ceo fireside chat ces with ceo sassine ghazi joining six five podcast hosts amp unpack the future automotive engineering from and software defined
@ARSIPAJA AHHAHAHAHA,ahhahahaha
@ARSIPAJA Ini berita kompas? Bukan kompasiana kan??,berita kompas kompasiana
@ARSIPAJA Downgrade jadi koran lampu merah,downgrade koran lampu merah
@ARSIPAJA ini opini bukan berita,opini berita
@ARSIPAJA Kompos sejak jaman mulyono sudah jadi keset rezim cuma biar bisa tetap makan enak,kompos jaman mulyono keset rezim biar makan enak
@ARSIPAJA Anjirr narasinyaa setelah dibungkam ,anjirr narasinyaa dibungkam
@ARSIPAJA jilatan sempurna... https://t.co/Y0tXiIA8Tr,jilatan sempurna
@ARSIPAJA Apakah jika ada yang mengkritisi berarti membenci...? Cetek sekali....,mengkritisi membenci cetek
@ARSIPAJA anjirrrr @kompascom asli na boskuu,anjirrrr asli boskuu
@ARSIPAJA Subjektivitasnya makin terang-terangan.,subjektivitasnya terang terangan
@ARSIPAJA Kompas mulai keras? Gak yakin.,kompas keras
@ARSIPAJA Ashiappp permohonan maaf nya ga di terima,ashiappp permohonan maaf terima
@ARSIPAJA ITU SUDAH KEWAJIBAN PRESIDEN. BARE MINIMUM BANGET. STOP GLORIFYING THISS!!,kewajiban presiden bare minimum stop glorifying thiss
@ARSIPAJA Tolol banget kompas masa tulisannya subjektif begitu,tolol kompas tulisannya subjektif
@ARSIPAJA @kompascom core,core
@ARSIPAJA sekelas kompas nih? emang rendah bgt harga diri jurnalis nasional kita klo gak clickbait ya bayaran. gak ada integritas yang dijaga,sekelas kompas emang rendah bgt harga jurnalis nasional klo clickbait bayaran integritas dijaga
@ARSIPAJA beneran ada https://t.co/AWJuslOS0M,beneran
@ARSIPAJA HAH????,hah
@ARSIPAJA @JayaSupranaShow ...,
@ARSIPAJA ,
@ARSIPAJA yg edit makan gaji buta,edit makan gaji buta
@ARSIPAJA izinnnn,izinnnn
@ARSIPAJA wkwkwk,wkwkwk
@ARSIPAJA Jijik,jijik
@ARSIPAJA @BintangPD Siap.,
@ARSIPAJA jelek amat tulisannya--dan ini objektif emang jelek,jelek tulisannya objektif emang jelek
@ARSIPAJA Jaya Suprana ppq,jaya suprana ppq
@ARSIPAJA ,
@ARSIPAJA Ha,
@ARSIPAJA Kompas?,kompas
@ARSIPAJA Duh ,duh
@ARSIPAJA @kompascom kok bisa sih bang lolos editorial?,bang lolos editorial
@ARSIPAJA ,
@ARSIPAJA Antara lain fakta relawan pemerintah hanya sampai dijalan besar dan yg dipelosok adalah relawan rakyat maaf penjilat ,fakta relawan pemerintah dijalan dipelosok relawan rakyat maaf penjilat
@ARSIPAJA Keren https://t.co/aVD0EiBuk7,keren
@ARSIPAJA klo pembenci dijelasin kyk apaan tetep benci karena otaknya isinya taaeek,klo pembenci dijelasin kyk tetep benci otaknya isinya taaeek
@ARSIPAJA Ini betul tulisannya lulus editorial @kompascom ?,tulisannya lulus editorial
@ARSIPAJA Jangankan Presiden Rakyat Jelata yg paling Gembel sekalipun GAK BOLEH DIBENCI TAPI DINASEHATI DAN DIARAHKAN JIKA SALAH DAN BERBUAT MUNKAR ITU HARUS KARENA DIANJURKAN DALAM AGAMA ISLAM,presiden rakyat jelata gembel dibenci dinasehati diarahkan salah berbuat munkar dianjurkan agama islam
@ARSIPAJA https://t.co/2oag4FHUSG,
@ARSIPAJA Hah? 🇳🇵,hah
@ARSIPAJA Mau yang pembenci dan tidak pembenci NYATA PRESIDEN tidak berani menyatakan BENCAN NASIONAL ada apa dengan ACEH SUMUT dan SUMBAR?,pembenci pembenci nyata presiden berani bencan nasional aceh sumut sumbar
@misssky__ @prabowo https://t.co/psVUzMEENv,
