Topic,Count,Name,Representation,Representative_Docs
46,27,46_venezuela kejauhan_marsudi silakan_kejauhan dibandingin_gara invasi,"['venezuela kejauhan', 'marsudi silakan', 'kejauhan dibandingin', 'gara invasi', 'pengamatan manteman', 'donnie venezuela', 'dikomentari kinerja', 'dibandingin syahrir', 'dibandingin deket', 'silakan dikomentari']","['gara invasi donnie venezuela kejauhan dibandingin syahrir agus salim adam malik coba dibandingin deket barusan retno marsudi silakan dikomentari kinerja menlu sesuai pengamatan manteman', 'gara invasi donnie venezuela kejauhan dibandingin syahrir agus salim adam malik coba dibandingin deket barusan retno marsudi silakan dikomentari kinerja menlu sesuai pengamatan manteman', 'gara invasi donnie venezuela kejauhan dibandingin syahrir agus salim adam malik coba dibandingin deket barusan retno marsudi silakan dikomentari kinerja menlu sesuai pengamatan manteman']"
47,26,47_dikritik_absurd_terkadang_memprihatinkan,"['dikritik', 'absurd', 'terkadang', 'memprihatinkan', 'kerja dengerin', 'inggrisnya', 'pikiran', 'tuhan', 'perasaan', 'situasi']","['bayangin menlu dikritik lakukan', 'bayangin menlu dikritik lakukan', 'bayangin menlu dikritik lakukan']"
48,25,48_merangkap jubir_menlu merangkap_pilkada dprd_jubir akal,"['merangkap jubir', 'menlu merangkap', 'pilkada dprd', 'jubir akal', 'akalan pilkada', 'akal akalan', 'dprd', 'dprd menlu', 'jubir', 'pilkada']","['menlu merangkap jubir akal akalan pilkada dprd', 'menlu merangkap jubir akal akalan pilkada dprd', 'menlu merangkap jubir akal akalan pilkada dprd']"
49,25,49_bantuan asing_bantuan internasional_asing masuk_bencana,"['bantuan asing', 'bantuan internasional', 'asing masuk', 'bencana', 'logistik', 'asing malu', 'bantuan bencana', 'bantuan negara', 'mandiri', 'bencana nasional']","['bantuan asing utk logistik korban santuni mis kel', 'alasan pemerintah netapin bencana nasional tuh biar dijajah asing biar diurus negara berkembang klo bantuan asing masuk diatur presiden gamau bantuan mbatin alasan logis', 'sengaja mancing bencana nasional biar bantuan asing masuk bantuan asing masuk pastikan kepentingan ngikut presiden mikir']"
50,25,50_diplomat_inidiplomasi_kemenlu kabinetmerahputih_negara inidiplomasi,"['diplomat', 'inidiplomasi', 'kemenlu kabinetmerahputih', 'negara inidiplomasi', 'diplomat kemenlu', 'kedubes', 'diplomatik', 'diplomasi', 'inidiplomasi anismatta', 'birokrasi']","['selamat dubes membantu upaya kolaborasi meningkatkan hubungan negara inidiplomasi yaman anismatta kemlu kemenlu kabinetmerahputih', 'inidiplomasi iwdn petajalan anismatta kemlu kemenlu kabinetmerahputih', 'pemerintahan berkomitmen mengelaborasi potensi kerja mempererat kolaborasi negara inidiplomasi anismatta kemlu kemenlu kabinetmerahputih libya']"
51,24,51_presiden presiden_presiden_presiden sederhana_anake presiden,"['presiden presiden', 'presiden', 'presiden sederhana', 'anake presiden', 'anake', 'simple', 'sederhana', 'tugas presiden', 'tugas', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['presiden', 'presiden', 'anake presiden']"
52,24,52_tenda_kedatangan presiden_tenda bnpb_tenda pengungsian,"['tenda', 'kedatangan presiden', 'tenda bnpb', 'tenda pengungsian', 'bnpb didirikan', 'boong', 'presiden berkunjung', 'berkunjung', 'kunjungan presiden', 'pengungsi']","['presiden jakarta tenda langsung copotin', 'tenda oren gegayaan presiden', 'tenda bnpb didirikan jelang presiden']"
53,23,53_joko widodo_polda metro_presiden joko_palsu,"['joko widodo', 'polda metro', 'presiden joko', 'palsu', 'gelar', 'ijazah palsu', 'palsu presiden', 'tudingan ijazah', 'pidana', 'hukum presiden']","['wakil ketua peradi bersatu lechumanan polda metro jaya mengikuti gelar perkara khusus terkait tudingan ijazah palsu presiden joko widodo polda metro jaya menahan roy suryo harapan', 'jam gelar perkara khusus dugaan ijazah palsu presiden joko widodo digelar polda metro jaya permintaan roy suryo senin fae', 'polda metro jaya menjadwalkan gelar perkara khusus terkait tudingan ijazah palsu presiden joko widodo senin desember joko widodo menghadiri gelar perkara khusus sesuai undangan polda metro jaya kuasa hukum']"
54,23,54_rebut_ayo_bersatu_kedaulatan,"['rebut', 'ayo', 'bersatu', 'kedaulatan', 'rakyat', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['ayo bersatu rebut kedaulatan rakyat', 'ayo bersatu rebut kedaulatan rakyat', 'ayo bersatu rebut kedaulatan rakyat']"
55,20,55_china_jepang_menlu china_ketegangan,"['china', 'jepang', 'menlu china', 'ketegangan', 'langit', 'asia timur', 'batas', 'taiwan', 'geopolitik', 'hubungan']","['menduga pembatalan berkaitan meningkatnya ketegangan hubungan jepang china pernyataan jepang sanae takaichi isu taiwan memicu reaksi keras china', 'menlu china menilai pernyataan jepang melewati batas memicu ketegangan asia timur narayapost china jepang geopolitik asiatimur isuglobal diplomasi beritaterkini indonesiaupdate', 'menlu china menilai pernyataan jepang melewati batas memicu ketegangan asia timur narayapost china jepang geopolitik asiatimur isuglobal diplomasi beritaterkini indonesiaupdate']"
56,20,56_papua_mbg diluncurkan_anak indonesia_mbg presiden,"['papua', 'mbg diluncurkan', 'anak indonesia', 'mbg presiden', 'kerja digital', 'kawasan asia', 'indonesia timur', 'enam provinsi', 'siswa', 'taiwan']","['presiden indonesia menjadikan papua prioritas membantu masyarakat papua papua indonesia timur kemajuan menggema bergerakuntukpapua', 'presiden indonesia menjadikan papua prioritas membantu masyarakat papua papua indonesia timur kemajuan menggema bergerakuntukpapua', 'program mbg diluncurkan presiden menjangkau anak anak pedalaman yan mandenas anggota komisi xiii dpr kebijakan gizi investasi jangka papua pinggiran papua pusat harapan']"
