full_text_comments,full_text_comments_preprocessed
@ARSIPAJA @kompascom udah jadi penyepong biji satu,udah penyepong biji
@ARSIPAJA Amankan tautannya. Bakal jadi artefak bersejarah ini wkwk,aman taut artefak sejarah wkwk
. @SpeedyMorman doesn t chase viral moments; he creates them. Calm precise and surgical he makes space for honesty in an era allergic to nuance. Whether he s sitting with rappers or whatever career Kim K is currently pursuing he brings the same patience and the confidence of https://t.co/yF7l5V9piM,doesn chase viral moments creates them calm precise and surgical makes space for honesty era allergic nuance whether sitting with rappers whatever career kim currently pursuing brings the same patience and the confidence
@ARSIPAJA ada kaitannya kah dengan jurnalis kompas yg disuruh hapus liputan bencana kemarin?? wkwk narasi nya jadi jilat total maju terus sambil koprol bareng gelondongan kayu,kait jurnalis kompas suruh hapus liput bencana kemarin wkwk narasi jilat total maju koprol bareng gelondong kayu
@ARSIPAJA Yang belum membaca sebaiknya dibaca dulu artikelnya. https://t.co/1EYsR1pT32,baca baca artikel
@ARSIPAJA Itu kualitas jurnalisnya atau aturan mainnya emang hrs yg bagus aja?,kualitas jurnalis atur main emang hrs bagus
@ARSIPAJA @kompascom @KompasTV penyepong penguasa,penyepong kuasa
@ARSIPAJA hmm https://t.co/M0sXxjEAYO,hmm
@ARSIPAJA Kemaren sekilas liat headline berita yg bilang reporter komps dipaksa hapus bukti foto dan video ttg kerusakan bencana di aceh wkwkwk,kemaren kilas liat headline berita bilang reporter komps paksa hapus bukti foto video ttg rusa bencana aceh wkwkwk
@ARSIPAJA Haha.. KOMPAS ga heran. Berani spill siapa aja perusahaan pembabatan hutan yg menjadi penyebab hutan rusak gak? Gw jamin ga berani. ,haha kompas heran berani spill usaha babat hutan sebab hutan rusak jamin berani
@ARSIPAJA Udah baca tapi di poin-poin nya ga ada poin penangkapan pelaku pembalakan liar dan pihak yang terlibat harus tanggung jawabnya.,udah baca poin poin poin tangkap laku bala liar libat tanggung
@ARSIPAJA Bare minimum seorang presiden sudah turun drastis.,bare minimum presiden turun drastis
@ARSIPAJA Kayak kunjungan ke daerah dunia ketiga penug dengan parade ...kasihan banget warga,kayak kunjung daerah dunia tiga penug parade kasihan banget warga
@ARSIPAJA Orang2 kayak gini dikasih platform taikk,orang kayak gin kasih platform taikk
@ARSIPAJA Buset,buset
@ARSIPAJA Jaya Suprana dan Sandro Gatra is THE money really that good?,jaya suprana sandro gatra the money really that good
@ARSIPAJA Ini kl ketahuan dosen jurnalistik gw diomelin abis-abisan sih,tahu dosen jurnalistik diomelin abis abis sih
@ARSIPAJA Ya di negara feodal kritik memang dianggap kebencian. Sungkem sujud nurut diutamakan.,negara feodal kritik anggap benci sungkem sujud nurut utama
@ARSIPAJA yg kita benci itu kebijakan dan kinerjanya bukan orangnya,benci bijak kerja orang
@ARSIPAJA Walau saya tau posisi anda terdesak tp untung belum perpanjang langganan @kompascom,tau posisi desak untung panjang langgan
@ARSIPAJA tulisannya si @Kelirumologi buzzer penguasa,tulis buzzer kuasa
@ARSIPAJA apaan banget script nya???,banget script
